SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
000737.13+002003.2  1.904739    0.334232    1.1003  20.070  0.047   19.716  0.019   19.229  0.019   19.114  0.048   19.112  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.978
000741.86-085230.1  1.924426    -8.875054   1.5110  20.165  0.067   19.763  0.025   19.668  0.027   19.242  0.026   19.191  0.073   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.545
000741.92-102223.1  1.924690    -10.373093  1.2635  19.463  0.055   19.053  0.026   18.924  0.016   19.007  0.019   19.032  0.059   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.349
000743.78-002432.4  1.932444    -0.409011   1.5400  18.412  0.023   18.217  0.020   18.097  0.021   17.943  0.032   18.030  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.895
000748.29+151746.0  1.951213    15.296132   1.2398  19.709  0.035   19.396  0.019   18.908  0.019   18.772  0.020   18.777  0.047   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.615
000752.56+002110.2  1.969005    0.352850    1.2703  19.157  0.028   19.014  0.016   18.638  0.024   18.617  0.015   18.684  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.796
000754.53-110033.9  1.977219    -11.009444  1.6761  19.548  0.043   19.426  0.024   19.324  0.022   19.102  0.026   19.204  0.075   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.924
000759.40+150822.6  1.997522    15.139632   1.9680  19.426  0.032   19.412  0.019   19.350  0.019   18.961  0.019   18.730  0.043   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.481
000802.22+152408.8  2.009263    15.402454   1.4321  19.669  0.032   19.559  0.033   19.235  0.074   19.144  0.086   19.132  0.058   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.604
000807.28-103942.8  2.030356    -10.661913  2.4585  19.463  0.035   19.111  0.035   18.975  0.018   18.981  0.022   18.989  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.926
000807.53+001619.0  2.031392    0.271952    1.4780  19.090  0.027   19.074  0.016   18.858  0.025   18.652  0.016   18.589  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.129
000808.94-104312.3  2.037269    -10.720087  1.4369  20.564  0.076   20.419  0.041   20.276  0.031   20.187  0.038   20.068  0.140   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.480
000809.19+152943.4  2.038313    15.495416   0.7566  19.027  0.025   18.655  0.026   18.537  0.016   18.514  0.017   18.405  0.034   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.691
000814.45+150946.9  2.060228    15.163030   1.0324  19.684  0.037   19.289  0.017   18.960  0.021   19.044  0.023   19.126  0.059   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.877
000815.33-095854.3  2.063878    -9.981772   1.9498  19.213  0.031   18.847  0.028   18.383  0.016   18.001  0.019   17.934  0.028   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.384
000815.53-110137.0  2.064734    -11.026972  1.3620  19.436  0.038   19.383  0.033   19.094  0.020   19.066  0.022   19.086  0.064   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.470
000819.80-095430.2  2.082528    -9.908403   1.4579  19.656  0.038   19.519  0.030   19.394  0.019   19.270  0.024   19.347  0.085   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.444
000820.02-092921.0  2.083454    -9.489173   1.3576  19.065  0.025   18.949  0.033   18.615  0.019   18.550  0.025   18.454  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.989
000822.83-111010.6  2.095158    -11.169619  1.4451  19.740  0.042   19.608  0.020   19.480  0.018   19.407  0.026   19.615  0.096   12.187  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.264
000825.75-095143.0  2.107298    -9.861965   0.5536  19.478  0.048   19.108  0.017   19.228  0.017   18.992  0.019   19.027  0.065   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.388
000826.34-103825.9  2.109761    -10.640530  1.5748  19.511  0.039   19.493  0.028   19.487  0.019   19.205  0.024   19.227  0.069   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.672
000834.71+003156.1  2.144652    0.532275    0.2630  17.785  0.016   17.611  0.024   17.440  0.019   17.484  0.026   17.260  0.026   0.000   -9.000  16.211  0.084   15.730  0.119   14.930  0.099   -23.100
000838.29-005156.8  2.159572    -0.865801   2.8892  21.174  0.093   19.661  0.026   19.639  0.020   19.670  0.036   19.494  0.066   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.582
000842.70+144108.5  2.177955    14.685715   0.7394  19.446  0.035   18.912  0.014   18.658  0.015   18.642  0.017   18.457  0.034   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.492
000849.23-084956.7  2.205143    -8.832417   2.5944  21.977  0.277   20.618  0.034   20.275  0.036   20.179  0.049   19.520  0.100   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.848
000856.79+155045.7  2.236656    15.846055   1.6909  19.283  0.032   19.079  0.018   18.963  0.013   18.718  0.021   18.598  0.037   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.418
000859.18+011351.1  2.246600    1.230886    0.2868  19.459  0.032   19.031  0.019   18.477  0.022   18.373  0.034   17.797  0.024   0.000   -9.000  16.565  0.141   15.864  0.170   15.197  0.122   -22.379
000900.87-084618.8  2.253633    -8.771893   1.6165  19.912  0.054   19.539  0.025   19.321  0.026   19.084  0.024   19.110  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.857
000901.38+153947.9  2.255758    15.663327   1.2436  19.870  0.037   19.437  0.023   18.954  0.015   18.856  0.020   18.892  0.043   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.546
000904.41-004332.8  2.268410    -0.725787   1.8286  18.674  0.029   18.779  0.024   18.770  0.032   18.404  0.029   18.311  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.826
000904.54-103428.7  2.268921    -10.574641  0.2408  17.838  0.020   17.808  0.028   17.801  0.016   17.567  0.032   17.621  0.024   0.000   -1.068  16.445  0.119   15.797  0.181   14.876  0.123   -22.796
000905.00+141228.9  2.270865    14.208030   1.5180  19.753  0.039   19.487  0.019   19.321  0.017   19.061  0.023   19.098  0.050   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.875
000913.76-095754.5  2.307370    -9.965151   2.0688  19.640  0.047   19.242  0.018   18.847  0.019   18.677  0.019   18.403  0.043   16.107  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.852
000913.79-101246.7  2.307465    -10.212984  0.6144  19.694  0.039   19.191  0.026   19.279  0.019   18.998  0.023   18.999  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.621
000919.26+152355.1  2.330271    15.398644   1.9349  19.845  0.039   19.628  0.016   19.565  0.018   19.323  0.023   19.270  0.070   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.096
000921.64-095949.1  2.340207    -9.996976   1.5356  19.507  0.042   19.199  0.030   19.095  0.023   18.852  0.022   19.064  0.059   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.981
000922.40-084839.6  2.343362    -8.811019   2.3464  19.714  0.047   19.166  0.024   19.001  0.025   19.014  0.023   18.791  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.789
000926.89-110805.1  2.362049    -11.134773  0.4226  19.413  0.035   19.331  0.026   19.160  0.021   19.013  0.026   18.749  0.051   16.043  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.693
000927.60+011055.7  2.365029    1.182139    1.6703  19.191  0.023   19.015  0.025   19.059  0.035   18.902  0.024   18.860  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.089
000943.14-090839.2  2.429769    -9.144241   0.2096  17.445  0.017   17.393  0.016   17.291  0.014   16.925  0.014   17.009  0.019   0.000   -1.543  15.666  0.073   14.923  0.085   14.030  0.061   -23.121
000944.92-085001.1  2.437192    -8.833658   1.6140  20.256  0.065   19.838  0.025   19.536  0.024   19.207  0.026   19.164  0.070   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.739
000945.46+001337.0  2.439445    0.226963    0.6976  18.961  0.027   18.529  0.022   18.538  0.023   18.503  0.019   18.428  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.414
000949.10-105810.8  2.454596    -10.969674  2.0700  18.593  0.045   18.613  0.026   18.559  0.024   18.469  0.021   18.263  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.050
000950.51+141002.1  2.460464    14.167253   3.1515  20.993  0.096   19.085  0.022   18.834  0.017   18.943  0.021   18.832  0.040   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.588
000954.53-091351.7  2.477248    -9.231035   1.1676  19.608  0.038   19.455  0.028   19.191  0.019   19.222  0.030   19.248  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.947
000955.62+151022.7  2.481787    15.172986   0.7266  19.665  0.033   19.457  0.017   19.507  0.024   19.629  0.023   19.426  0.077   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.447
001001.02-090519.2  2.504279    -9.088670   3.7185  26.545  0.472   23.131  0.235   20.153  0.028   20.508  0.053   20.610  0.259   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.313
001002.04+004224.5  2.508515    0.706831    1.2116  19.838  0.040   19.378  0.018   18.967  0.026   18.866  0.016   18.849  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.368
001002.96-010107.2  2.512352    -1.018680   0.5542  19.802  0.037   19.236  0.027   19.000  0.027   18.703  0.017   18.764  0.042   16.124  -9.000  17.309  0.227   16.828  0.312   15.619  0.220   -23.650
001007.59-111222.7  2.531655    -11.206317  0.4694  19.683  0.040   19.483  0.023   19.489  0.021   19.263  0.026   18.886  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.696
001010.03+005126.6  2.541802    0.857401    0.3870  19.540  0.035   19.341  0.029   18.842  0.031   18.683  0.021   18.366  0.038   0.000   -9.000  17.006  0.184   16.376  0.100   15.451  0.147   -22.786
001015.14-095623.2  2.563116    -9.939793   2.1106  20.277  0.060   20.080  0.023   19.992  0.032   19.832  0.034   19.546  0.107   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.733
001017.51-100238.8  2.572970    -10.044138  1.8190  19.394  0.037   19.263  0.028   19.234  0.016   18.925  0.022   18.837  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.294
001017.80+010450.7  2.574172    1.080763    1.8180  19.471  0.033   19.134  0.019   18.836  0.018   18.393  0.014   18.393  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.798
001018.27+143338.8  2.576147    14.560783   0.9011  19.229  0.038   19.137  0.021   19.072  0.027   19.172  0.023   19.088  0.049   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.435
001018.56-005810.3  2.577370    -0.969552   0.6269  19.656  0.035   19.150  0.029   19.123  0.020   18.941  0.023   19.082  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.719
001020.24-103059.1  2.584342    -10.516427  1.7425  19.879  0.058   19.630  0.020   19.359  0.023   19.033  0.021   18.982  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.081
001021.16-102546.2  2.588194    -10.429501  1.6067  20.561  0.094   20.228  0.025   20.002  0.028   19.713  0.028   19.696  0.096   14.497  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.218
001022.14-003701.1  2.592272    -0.616997   3.1520  21.746  0.177   18.732  0.019   18.398  0.015   18.299  0.018   18.267  0.027   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -28.192
001024.22+153331.3  2.600918    15.558711   0.7285  17.664  0.017   17.422  0.013   17.347  0.018   17.294  0.017   17.216  0.024   -1.000  -9.000  16.501  0.105   15.658  0.101   14.902  0.131   -25.811
001025.90+005447.6  2.607954    0.913245    2.8473  21.346  0.142   19.150  0.029   19.093  0.032   18.944  0.022   18.758  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.263
001029.91-101145.5  2.624650    -10.195984  1.7516  19.149  0.034   19.201  0.028   19.126  0.016   18.825  0.021   18.796  0.054   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.306
001030.55+010006.0  2.627306    1.001683    0.3780  18.417  0.020   17.836  0.027   17.508  0.030   17.397  0.018   16.847  0.026   0.000   -9.000  16.235  0.098   15.606  0.131   15.070  0.119   -24.019
001033.34-095453.2  2.638922    -9.914789   1.5500  19.385  0.036   19.183  0.019   19.144  0.027   18.948  0.025   18.970  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.898
001034.61-095723.7  2.644228    -9.956610   2.0294  19.269  0.033   19.010  0.017   18.993  0.027   19.005  0.025   18.899  0.062   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.466
001039.86-110614.2  2.666122    -11.103957  1.0752  20.103  0.052   19.738  0.042   19.346  0.021   19.265  0.031   19.252  0.074   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.708
001047.46+001900.3  2.697765    0.316777    0.7481  19.053  0.027   18.806  0.020   18.813  0.017   18.805  0.020   18.793  0.044   0.000   -1.739  0.000   0.000   0.000   0.000   0.000   0.000   -24.282
001049.30-093906.4  2.705438    -9.651782   1.5021  19.622  0.042   19.392  0.020   19.288  0.018   19.136  0.031   19.020  0.065   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.629
001050.95-003133.2  2.712312    -0.525903   2.0530  19.446  0.031   19.583  0.026   19.531  0.022   19.249  0.028   18.969  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.278
001053.56+000642.9  2.723181    0.111925    1.8734  19.753  0.042   19.636  0.032   19.463  0.027   18.978  0.035   18.908  0.056   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.298
001054.40-085438.6  2.726696    -8.910748   1.7457  18.011  0.027   17.998  0.030   17.847  0.017   17.542  0.017   17.490  0.031   0.000   -9.000  16.408  0.115   16.022  0.217   15.599  0.212   -27.586
001055.00+155511.3  2.729208    15.919815   0.3094  19.266  0.029   19.058  0.022   18.794  0.017   18.777  0.017   18.085  0.033   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.235
001100.24-093903.5  2.751010    -9.650997   1.5711  20.498  0.076   20.367  0.028   20.328  0.031   20.221  0.046   20.259  0.187   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.650
001100.31+134812.2  2.751318    13.803389   0.6860  19.306  0.028   18.959  0.019   18.795  0.014   18.678  0.017   18.591  0.033   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.264
001104.84-092357.8  2.770207    -9.399404   0.6960  18.830  0.040   18.523  0.024   18.469  0.024   18.414  0.025   18.368  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.503
001106.59-092815.1  2.777472    -9.470882   1.1293  18.556  0.038   18.277  0.024   17.962  0.023   17.937  0.024   17.922  0.026   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.151
001108.78+154052.4  2.786623    15.681231   0.3806  19.442  0.029   19.283  0.018   19.086  0.026   18.948  0.021   18.533  0.033   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.577
001111.13+151034.8  2.796392    15.176354   1.7316  19.319  0.029   19.106  0.015   19.116  0.014   18.866  0.019   18.841  0.046   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.296
001113.46-110023.5  2.806089    -11.006547  0.4953  20.196  0.060   20.008  0.036   20.120  0.033   19.912  0.033   19.775  0.113   0.000   -1.507  0.000   0.000   0.000   0.000   0.000   0.000   -22.188
001115.23+144601.8  2.813487    14.767168   4.9672  24.100  0.827   22.091  0.074   19.624  0.021   18.293  0.014   18.113  0.025   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -29.175
001125.75-105710.4  2.857302    -10.952902  0.6407  20.651  0.085   19.871  0.035   19.594  0.028   19.032  0.020   18.770  0.050   0.000   -9.000  17.477  0.284   16.531  0.346   15.524  0.211   -23.694
001128.82+151702.1  2.870084    15.283941   1.3630  20.120  0.045   19.810  0.023   19.407  0.019   19.224  0.024   19.243  0.064   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.376
001130.18-102353.8  2.875769    -10.398291  0.3376  19.432  0.038   19.323  0.021   19.025  0.033   18.957  0.030   18.453  0.042   0.000   -9.000  16.886  0.167   16.185  0.247   15.434  0.198   -22.213
001130.40+005751.8  2.876667    0.964393    1.4915  20.585  0.078   20.411  0.027   20.319  0.031   20.137  0.040   20.365  0.172   10.789  -1.573  0.000   0.000   0.000   0.000   0.000   0.000   -24.598
001130.55+005550.7  2.877324    0.930756    2.3086  20.141  0.057   19.105  0.017   18.698  0.017   18.338  0.018   17.997  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.407
001130.67-111036.6  2.877816    -11.176856  1.0743  20.167  0.058   19.651  0.031   19.202  0.025   19.219  0.032   19.382  0.082   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.750
001134.52+155137.4  2.893868    15.860399   4.3250  25.200  0.959   22.888  0.154   20.867  0.040   20.095  0.036   19.867  0.099   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.116
001138.43-104458.2  2.910154    -10.749521  1.2735  18.927  0.030   18.754  0.023   18.405  0.025   18.490  0.018   18.583  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.894
001139.79-091701.6  2.915815    -9.283803   1.0319  18.096  0.019   18.022  0.014   17.775  0.010   17.894  0.012   17.962  0.026   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.981
001142.79+152216.2  2.928309    15.371194   1.8862  19.815  0.038   19.538  0.022   19.211  0.018   18.705  0.021   18.507  0.038   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.649
