SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
000629.29-093550.9  1.622046    -9.597484   1.7582  18.851  0.028   18.769  0.015   18.731  0.020   18.397  0.017   18.442  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.750
000639.20+142156.1  1.663354    14.365596   1.3920  19.001  0.027   18.683  0.025   18.277  0.015   18.086  0.017   17.968  0.028   -1.000  -9.000  16.532  0.122   15.926  0.116   15.126  0.163   -26.658
000645.48-085323.5  1.689516    -8.889869   1.4057  19.344  0.037   19.518  0.026   19.257  0.019   19.117  0.029   19.096  0.066   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.502
000648.73-094036.9  1.703078    -9.676931   1.8350  19.753  0.047   19.648  0.019   19.392  0.022   18.963  0.019   18.895  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.289
000654.10-001533.4  1.725449    -0.259281   1.7252  18.632  0.025   18.384  0.015   18.199  0.025   17.898  0.023   17.812  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.190
000654.13+141133.1  1.725571    14.192534   1.2987  20.325  0.058   19.943  0.023   19.469  0.022   19.297  0.019   19.111  0.050   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.287
000654.40+141442.7  1.726698    14.245212   1.6359  19.848  0.042   19.469  0.021   19.418  0.022   19.209  0.019   19.115  0.050   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.921
000655.61+150917.6  1.731732    15.154907   1.3995  19.936  0.041   19.554  0.017   19.388  0.020   19.202  0.021   19.135  0.059   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.460
000701.33+002242.3  1.755543    0.378436    0.8880  17.844  0.034   17.590  0.015   17.350  0.017   17.312  0.034   17.172  0.021   0.000   -9.000  16.083  0.080   15.590  0.124   14.983  0.103   -26.274
000709.92+001854.2  1.791355    0.315075    1.4309  18.770  0.037   18.591  0.016   18.380  0.018   18.212  0.034   18.236  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.556
000710.01+005329.1  1.791724    0.891420    0.3162  17.802  0.018   17.563  0.036   17.306  0.021   17.386  0.019   16.542  0.016   15.924  -0.981  15.986  0.070   15.166  0.094   14.361  0.063   -23.620
000724.08+151657.6  1.850339    15.282686   2.0636  19.226  0.029   19.026  0.017   18.894  0.018   18.779  0.018   18.591  0.042   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.796
000725.18+003645.0  1.854943    0.612525    2.0335  19.519  0.052   19.325  0.020   19.149  0.025   18.976  0.028   18.808  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.513
000729.17+145811.1  1.871571    14.969759   1.1379  18.833  0.021   18.527  0.023   18.176  0.015   18.080  0.024   18.041  0.029   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.088
000730.82+160732.5  1.878455    16.125705   3.5014  25.195  0.872   21.279  0.041   20.113  0.025   19.789  0.031   19.361  0.071   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.920
000735.52-085435.1  1.898002    -8.909766   1.7778  19.457  0.041   19.456  0.020   19.493  0.026   19.140  0.022   19.110  0.069   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.028
